央视频道,#genre#
东方卫视,http://117.28.113.146:8888/rtp/239.61.2.28:8162
山东卫视,http://27.11.40.250:8004/udp/225.0.4.199:7980
山东卫视,http://118.112.60.52:55555/udp/239.93.0.168:5140
山东卫视,http://114.250.93.106:8686/rtp/239.3.1.209:8052
山东卫视,http://123.112.215.196:4022/rtp/239.3.1.209:8052
山东卫视,http://117.28.113.146:8888/rtp/239.61.2.119:8708
广东卫视,http://114.250.93.106:8686/rtp/239.3.1.142:8048
广东卫视,http://111.194.229.53:6060/rtp/239.3.1.142:8048
广东卫视,http://27.11.40.250:8004/udp/225.0.4.84:7980
广东卫视,http://118.112.60.52:55555/udp/239.93.0.181:5140
广东卫视,http://123.112.215.196:4022/rtp/239.3.1.142:8048
江苏卫视,http://113.138.132.29:8001/rtp/239.112.205.63:5140
江苏卫视,http://114.250.93.106:8686/rtp/239.3.1.135:8028
江苏卫视,http://118.112.60.52:55555/udp/239.93.0.89:5140
江苏卫视,http://27.11.40.250:8004/udp/225.0.4.79:7980
江苏卫视,http://117.28.113.146:8888/rtp/239.61.2.30:8174
浙江卫视,http://118.112.60.52:55555/udp/239.93.0.124:5140
浙江卫视,http://27.11.40.250:8004/udp/225.0.4.81:7980
浙江卫视,http://114.250.93.106:8686/rtp/239.3.1.137:8036
浙江卫视,http://61.185.200.33:55555/rtp/239.112.205.64:5140
浙江卫视,http://117.28.113.146:8888/rtp/239.61.2.29:8168
深圳卫视,http://118.112.60.52:55555/udp/239.93.0.182:5140
深圳卫视,http://27.11.40.250:8004/udp/225.0.4.202:7980
深圳卫视,http://118.116.122.157:8686/udp/239.93.0.182:5140
深圳卫视,http://114.250.93.106:8686/rtp/239.3.1.134:8020
深圳卫视,http://117.28.113.146:8888/rtp/239.61.3.46:9794
辽宁卫视,http://27.11.40.250:8004/udp/225.0.4.98:7980
辽宁卫视,http://114.250.93.106:8686/rtp/239.3.1.210:8056
辽宁卫视,http://223.12.205.249:8083/udp/239.1.1.42:8042
辽宁卫视,http://118.112.60.52:55555/udp/239.93.1.108:5140
辽宁卫视,http://125.114.166.14:8888/rtp/233.50.201.141:5140
